date,open,high,low,close,volume,Name
2/8/13,67.7142,68.4014,66.8928,67.8542,158168416,AAPL
2/11/13,68.0714,69.2771,67.6071,68.5614,129029425,AAPL
2/12/13,68.5014,68.9114,66.8205,66.8428,151829363,AAPL
2/13/13,66.7442,67.6628,66.1742,66.7156,118721995,AAPL
2/14/13,66.3599,67.3771,66.2885,66.6556,88809154,AAPL
2/15/13,66.9785,67.1656,65.7028,65.7371,97924631,AAPL
2/19/13,65.8714,66.1042,64.8356,65.7128,108854046,AAPL
2/20/13,65.3842,65.3842,64.1142,64.1214,118891367,AAPL
2/21/13,63.7142,64.1671,63.2599,63.7228,111596821,AAPL
2/22/13,64.1785,64.5142,63.7999,64.4014,82583823,AAPL
2/25/13,64.8356,65.0171,63.2242,63.2571,92899597,AAPL
2/26/13,63.4028,64.5056,62.5228,64.1385,125096657,AAPL
2/27/13,64.0614,64.6342,62.9499,63.5099,146674682,AAPL
2/28/13,63.4357,63.9814,63.0571,63.0571,80532382,AAPL
3/1/13,62.5714,62.5971,61.4257,61.4957,137899041,AAPL
3/4/13,61.1142,61.1714,59.8571,60.0071,145406366,AAPL
3/5/13,60.2114,62.1699,60.1071,61.5919,159298020,AAPL
3/6/13,62.0728,62.1785,60.6328,60.8088,114903180,AAPL
3/7/13,60.6428,61.7157,60.1514,61.5117,116992841,AAPL
